"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","29-Jun-2020","       1056.45","       1037.00","       1082.60","       1037.00","       1075.50","       1076.05","       1058.38","   23003725","         24346771790.20","     361163","    9905945","         43.06"
"HDFCBANK","EQ","30-Jun-2020","       1076.05","       1074.00","       1078.55","       1056.30","       1066.45","       1065.85","       1068.09","   17873316","         19090256874.05","     282325","    7881793","         44.10"
"HDFCBANK","EQ","01-Jul-2020","       1065.85","       1065.85","       1096.00","       1061.30","       1079.50","       1084.60","       1083.32","   17423378","         18875108749.35","     231200","    5258903","         30.18"
"HDFCBANK","EQ","02-Jul-2020","       1084.60","       1090.30","       1111.25","       1085.20","       1091.50","       1089.40","       1098.30","   18477248","         20293649222.35","     268683","    5983962","         32.39"
"HDFCBANK","EQ","03-Jul-2020","       1089.40","       1093.00","       1095.80","       1070.00","       1075.50","       1073.95","       1079.30","   13798879","         14893162920.85","     227183","    5292799","         38.36"
"HDFCBANK","EQ","06-Jul-2020","       1073.95","       1107.95","       1119.90","       1100.00","       1102.45","       1103.00","       1109.16","   17779243","         19720041008.30","     288861","    4833544","         27.19"
"HDFCBANK","EQ","07-Jul-2020","       1103.00","       1109.40","       1111.70","       1093.05","       1104.00","       1105.15","       1101.79","   12175425","         13414749481.80","     191000","    4042030","         33.20"
"HDFCBANK","EQ","08-Jul-2020","       1105.15","       1107.00","       1124.90","       1105.00","       1110.30","       1110.35","       1115.55","   15028412","         16765006215.95","     221878","    5513315","         36.69"
"HDFCBANK","EQ","09-Jul-2020","       1110.35","       1118.00","       1129.70","       1107.25","       1127.00","       1124.95","       1121.08","   10057717","         11275520678.55","     143088","    3264951","         32.46"
"HDFCBANK","EQ","10-Jul-2020","       1124.95","       1117.90","       1120.00","       1099.55","       1106.65","       1105.10","       1108.80","    8781604","          9737028635.05","     161321","    2834396","         32.28"
"HDFCBANK","EQ","13-Jul-2020","       1105.10","       1109.90","       1113.00","       1071.30","       1083.55","       1080.25","       1086.03","   14961695","         16248881581.40","     265343","    6602916","         44.13"
