"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","01-Nov-2021","       1582.85","       1585.00","       1611.00","       1583.55","       1609.00","       1605.30","       1594.91","    4061160","          6477168351.50","     154509","    2186450","         53.84"
"HDFCBANK","EQ","02-Nov-2021","       1605.30","       1606.00","       1622.00","       1600.05","       1605.00","       1606.75","       1610.07","    6618861","         10656813765.40","     190992","    4327632","         65.38"
"HDFCBANK","EQ","03-Nov-2021","       1606.75","       1605.10","       1609.90","       1575.55","       1582.00","       1581.45","       1596.24","    5103669","          8146688582.90","     171297","    3013031","         59.04"
"HDFCBANK","EQ","04-Nov-2021","       1581.45","       1595.00","       1597.85","       1590.10","       1595.20","       1593.95","       1594.17","     548404","           874247081.10","      41400","     327517","         59.72"
"HDFCBANK","EQ","08-Nov-2021","       1593.95","       1592.10","       1604.70","       1570.45","       1600.00","       1600.25","       1586.02","    9471790","         15022453102.50","     201396","    7415309","         78.29"
"HDFCBANK","EQ","09-Nov-2021","       1600.25","       1594.60","       1594.60","       1569.05","       1573.00","       1572.25","       1576.98","    6347738","         10010275270.50","     240815","    4613239","         72.68"
"HDFCBANK","EQ","10-Nov-2021","       1572.25","       1568.00","       1569.00","       1550.00","       1555.00","       1555.25","       1556.97","    6857063","         10676261141.35","     233747","    5316027","         77.53"
"HDFCBANK","EQ","11-Nov-2021","       1555.25","       1550.05","       1554.90","       1535.60","       1549.60","       1548.30","       1543.95","    3999702","          6175323288.30","     157896","    2359811","         59.00"
"HDFCBANK","EQ","12-Nov-2021","       1548.30","       1550.00","       1559.05","       1545.05","       1554.45","       1553.00","       1551.65","    7457046","         11570722042.80","     170825","    6028992","         80.85"
"HDFCBANK","EQ","15-Nov-2021","       1553.00","       1562.10","       1571.85","       1554.40","       1555.00","       1557.25","       1561.48","    4766797","          7443240911.85","     231105","    3348551","         70.25"
"HDFCBANK","EQ","16-Nov-2021","       1557.25","       1555.00","       1557.20","       1541.60","       1547.55","       1548.00","       1548.02","    4122703","          6382046601.15","     139578","    3120847","         75.70"
"HDFCBANK","EQ","17-Nov-2021","       1548.00","       1536.90","       1544.00","       1528.50","       1531.20","       1530.80","       1535.47","    3799439","          5833910234.85","     145953","    2426211","         63.86"
"HDFCBANK","EQ","18-Nov-2021","       1530.80","       1526.05","       1543.50","       1525.25","       1538.50","       1539.40","       1536.60","    4576437","          7032168198.55","     181690","    2775777","         60.65"
"HDFCBANK","EQ","22-Nov-2021","       1539.40","       1546.00","       1552.70","       1499.05","       1520.95","       1515.35","       1524.17","    7630636","         11630387262.15","     222669","    5181802","         67.91"
